rowname,wt-ccl4-1,wt-ccl4-2,wt-ccl4-3,wt-ccl4-4,wt-ccl4-5,wt-untreated-1,wt-untreated-2,wt-untreated-3,wt-untreated-4,wt-untreated-5,yaptaz-ccl4-1,yaptaz-ccl4-2,yaptaz-ccl4-3,yaptaz-untreated-1,yaptaz-untreated-2,yaptaz-untreated-3,yaptaz-untreated-4,mgi_symbol
ENSMUSG00000030515,6.0829200000000005,7.14205,6.5703929,6.39965,5.309774099999999,4.0083334,3.6655499999999996,3.95955,5.33905,1.5137100000000001,7.78447,8.01494,1.20165,7.1861761,2.6329187999999997,4.9044151,4.6584699999999994,Tarsl2
ENSMUSG00000030516,7.826321999999999,8.15767,10.6937,6.96171,8.28983,5.58102,4.8969000000000005,5.765779,5.29317,2.46998,7.53942,18.729460000000003,3.65848,10.77972,3.86101,4.321263,5.813024,Tjp1
ENSMUSG00000030518,0.0592043,0.0439456,0.0585624,0.0485105,0.0130697,0.0214693,0.0,0.0660846,0.109621,0.0,0.0608685,0.0,0.0288023,0.0646826,0.0,0.0511223,0.0,Fam189a1
ENSMUSG00000030519,0.0518697,0.0,0.1812888,0.0757749,0.0512161,0.110915,0.10696,0.051435,0.183571,0.0650145,0.0789849,0.962951,0.056403,0.271091,0.475135,0.0672153,0.0,Apba2
ENSMUSG00000030521,4.297352,4.50196,5.7925235,6.75431,8.649628,2.6712601,5.4956178,2.59592,1.82386,1.9135327,5.01144,8.806581999999999,4.8430838,3.336833,5.0037878,4.04259,4.3700399999999995,Mphosph10
ENSMUSG00000030522,6.994934000000001,9.7319718,10.020802,7.1235177,11.248271,3.885695,3.88923,5.362907900000001,4.7386166,2.731293,9.4791621,9.1284499,2.831712,8.7702506,3.4504879999999996,5.1213094,5.52526,Mtmr10
ENSMUSG00000030523,0.160318,0.2859229,0.6029457,0.0,0.5759464,0.0736194,0.0329465,0.0,0.0,0.1373913,0.2644573,0.316439,0.2153877,0.2728437,0.0282715,0.0262418,0.0,Trpm1
ENSMUSG00000030525,0.0761508,0.0,0.0677703,0.0313532,0.0,0.0,0.0310893,0.0256611,0.0,0.0,0.0,0.0,0.0,0.0499847,0.0295692,0.0248016,0.0,Chrna7
ENSMUSG00000030527,4.8695623,2.37203,5.1679072999999995,4.47181,10.327060100000002,1.3846286,1.5700339,2.5427893999999998,2.8080888999999996,1.1231168,6.168100400000001,6.958311999999999,1.784436,3.0752062,2.5683670000000003,3.2020452999999995,2.6734004,Crtc3
ENSMUSG00000030528,0.55395,0.434698,0.445359,0.4272,0.353726,0.545851,0.291269,0.284105,0.297969,0.177352,0.954672,2.21006,0.237441,0.577431,0.226682,0.591301,0.54828,Blm
ENSMUSG00000030530,87.92119,68.97411499999998,65.103148,67.9980321,86.845219,43.297444999999996,45.135811000000004,59.349971,54.314366,37.146076,137.01393099999999,117.049104,27.384003,97.01378700000001,44.51869299999999,86.660926,98.390835,Furin
ENSMUSG00000030532,1.30417,1.08755,0.710517,1.95837,0.572246,1.05737,0.618475,1.09307,0.259866,0.806355,5.02506,5.06805,5.143,4.34867,5.11956,12.3178,10.078,Hddc3
ENSMUSG00000030533,9.755844,4.996518,4.5750427,7.941767,6.447646,3.825073,3.8410320000000002,5.629415,3.8743448,4.524207,9.185952,11.5692,5.0999045999999995,5.234684199999999,3.27459,5.326638,5.915672,Unc45a
ENSMUSG00000030534,3.624715,4.266771,6.088490200000001,6.5184292,3.270662,1.9427640000000002,4.74907,2.8944530000000004,3.9451367,1.31527,3.804171,5.001508,2.531001,3.25261,1.3512414,2.71463,2.546126,Vps33b
ENSMUSG00000030536,0.580436,0.813563,0.505656,0.475594,0.74392,0.140682,0.122327,0.100718,0.17509,0.0841994,1.10082,3.53766,4.88078,0.249639,0.0851292,0.272448,0.244983,Iqgap1
ENSMUSG00000030538,90.576829,125.870875,81.792439,135.83863900000003,87.36922200000001,66.07225,67.232495,75.86691499999999,66.686492,51.668346,93.38264000000001,103.280536,69.081991,78.855302,57.013007,55.27834,58.976527999999995,Cib1
ENSMUSG00000030539,1.72067,1.13044,1.4077549999999999,1.3589635,2.25232,0.7819702000000001,1.2071555,0.6503747000000001,1.00731,0.6641208,3.4101809999999997,4.650513,2.1188056000000004,3.090658,1.07146,1.3535558,2.3993845,Sema4b
